tag,step,value,smoothed
da/a1,0,0.2877730131149292,
da/a1,250,0.41106003522872925,
da/a1,500,0.35223710536956787,
da/a1,750,0.49739786982536316,
da/a1,1000,0.49134570360183716,
da/a1,1250,0.5174353718757629,
da/a1,1500,0.511439859867096,
da/a1,1750,0.7010997533798218,
da/a1,2000,0.6918557286262512,
da/a1,4000,0.7873806953430176,
da/a1,6000,0.8148456811904907,
da/a1,8000,0.8274843096733093,
da/a1,10000,0.7325516939163208,
da/a1,12000,0.8113826513290405,
da/a1,14000,0.8253451585769653,
da/a1,16000,0.7804617881774902,
da/a1,18000,0.8418450951576233,
da/a1,20000,0.864038348197937,
da/a1,22000,0.8514248132705688,
da/a1,24000,0.893621027469635,
da/a1,26000,0.880752444267273,
da/a1,28000,0.7755128741264343,
da/a1,30000,0.7565484046936035,
da/a1,32000,0.6742098927497864,
da/a1,34000,0.8580596446990967,
da/a1,36000,0.7550314664840698,
da/a1,38000,0.8870571255683899,
da/a1,40000,0.8497176766395569,
da/a1,42000,0.8802404999732971,
da/a1,44000,0.8700878024101257,
da/a1,46000,0.8046050071716309,
da/a1,0,0.29344457387924194,
da/a1,250,0.4226524829864502,
da/a1,500,0.4076133370399475,
da/a1,750,0.5600447058677673,
da/a1,1000,0.577701985836029,
da/a1,1250,0.5487406849861145,
da/a1,1500,0.6195113062858582,
da/a1,1750,0.6410816311836243,
da/a1,2000,0.5430716276168823,
da/a1,4000,0.8348940014839172,
da/a1,6000,0.8354132771492004,
da/a1,8000,0.7866106629371643,
da/a1,10000,0.8712090253829956,
da/a1,12000,0.8184425234794617,
da/a1,14000,0.6550527215003967,
da/a1,16000,0.8308968544006348,
da/a1,18000,0.8319571018218994,
da/a1,20000,0.831486701965332,
da/a1,22000,0.8490830063819885,0.7048551350831986
da/a1,24000,0.8701788783073425,0.7165032523870468
da/a1,26000,0.8360782861709595,0.7250036174058914
da/a1,28000,0.7081384658813477,0.7321216446161272
da/a1,30000,0.778974175453186,0.7377531707286835
da/a1,32000,0.9004940390586853,0.7459361374378204
da/a1,34000,0.8334164023399353,0.7522557580471039
da/a1,36000,0.778215229511261,0.7575912654399872
da/a1,38000,0.792020320892334,0.7594096767902374
da/a1,40000,0.831771969795227,0.762208001613617
da/a1,42000,0.8370112180709839,0.7632006120681762
da/a1,44000,0.7823822498321533,0.7625513434410096
da/a1,46000,0.8123931288719177,0.7622495198249817
da/a2,0,0.5231610536575317,
da/a2,250,0.7226685285568237,
da/a2,500,0.6787701845169067,
da/a2,750,0.769849956035614,
da/a2,1000,0.7468762993812561,
da/a2,1250,0.818267822265625,
da/a2,1500,0.7660742998123169,
da/a2,1750,0.8831860423088074,
da/a2,2000,0.8858638405799866,
da/a2,4000,0.9279654622077942,
da/a2,6000,0.9559077024459839,
da/a2,8000,0.949240505695343,
da/a2,10000,0.9120888113975525,
da/a2,12000,0.9424812197685242,
da/a2,14000,0.9562746286392212,
da/a2,16000,0.9139485955238342,
da/a2,18000,0.9438542723655701,
da/a2,20000,0.9680465459823608,
da/a2,22000,0.9513364434242249,
da/a2,24000,0.964870810508728,
da/a2,26000,0.9535871744155884,
da/a2,28000,0.9092074632644653,
da/a2,30000,0.9247530102729797,
