step,train_loss_raw,train_loss_smooth,val_loss_raw,val_loss_smooth
0,0.14613470435142517,0.14613470435142517,0.15195700526237488,0.1254292517900467
250,0.12205877900123596,0.12205877900123596,0.12295539677143097,0.11367042213678362
500,0.1074872612953186,0.1074872612953186,0.11915064603090286,0.11064885407686235
750,0.10902613401412964,0.10902613401412964,0.13127461075782776,0.1102111876010895
1000,0.12999451160430908,0.12999451160430908,0.10180860012769699,0.09848274439573287
1250,0.12480130791664124,0.12480130791664124,0.09316285699605942,0.10215553641319275
1500,0.10068660974502563,0.10068660974502563,0.10784755647182465,0.10735734552145004
1750,0.11516494303941727,0.11516494303941727,0.11696231365203857,0.1004521355032921
1757,0.12498737871646881,0.12498737871646881,0.07263239473104477,0.0967978000640869
2000,0.11350022256374359,0.11350022256374359,0.12017256021499634,0.1041193351149559
4000,0.1159668043255806,0.1159668043255806,0.11917190253734589,0.09484573453664781
6000,0.08509720116853714,0.08509720116853714,0.07332150638103485,0.08483122438192368
8000,0.10628442466259003,0.10628442466259003,0.09869063645601273,0.0879748210310936
10000,0.0936618372797966,0.0936618372797966,0.10924006998538971,0.09168333709239959
12000,0.07808172702789307,0.07808172702789307,0.07380455732345581,0.0847836047410965
14000,0.09656932204961777,0.09656932204961777,0.06909935176372528,0.08668229132890702
16000,0.05901698023080826,0.05901698023080826,0.08903948962688446,0.08993905335664751
18000,0.0894256979227066,0.0894256979227066,0.11723321676254272,0.09116450548171998
20000,0.08394423872232437,0.08394423872232437,0.0747414082288742,0.07853302210569382
22000,0.06492692232131958,0.06492692232131958,0.08329799026250839,0.07981882095336915
24000,0.08000708371400833,0.08000708371400833,0.08538316190242767,0.07970779687166214
26000,0.08694100379943848,0.08694100379943848,0.09516675025224686,0.07776205986738205
28000,0.07220444083213806,0.07220444083213806,0.05407579988241196,0.07642941176891327
30000,0.06761990487575531,0.06761990487575531,0.08117040246725082,0.08536778390407562
32000,0.08248378336429596,0.08248378336429596,0.08274286985397339,0.08723717033863068
34000,0.0697631686925888,0.0697631686925888,0.07565447688102722,0.0913203850388527
36000,0.051775529980659485,0.051775529980659485,0.08850350975990295,0.09446806609630586
38000,0.07232989370822906,0.07232989370822906,0.09876766055822372,0.08912465646862985
40000,0.0745096206665039,0.0745096206665039,0.09051733464002609,0.08202149793505668
42000,0.07239498198032379,0.07239498198032379,0.10315894335508347,0.07428098693490029
44000,0.06901527941226959,0.06901527941226959,0.091392882168293,0.06360392197966576
46000,0.04895786941051483,0.04895786941051483,0.0617864616215229,0.06452530100941659
48000,0.07185137271881104,0.07185137271881104,0.06325186789035797,0.06611354649066925
50000,0.07655831426382065,0.07655831426382065,0.05181477963924408,0.07329340279102327
52000,0.08075457811355591,0.08075457811355591,0.04977361857891083,0.07286444678902627
54000,0.06217072159051895,0.06217072159051895,0.09599977731704712,0.08026767745614052
56000,0.06572535634040833,0.06572535634040833,0.06972768902778625,0.08130988255143166
58000,0.07816921919584274,0.07816921919584274,0.09915114939212799,0.08197192773222924
60000,0.07443279027938843,0.07443279027938843,0.04966999962925911,0.08345375582575798
62000,0.0665694922208786,0.0665694922208786,0.08678977191448212,0.08392062783241272
64000,0.06600195914506912,0.06600195914506912,0.10121080279350281,
66000,0.08172697573900223,0.08172697573900223,0.07303791493177414,
68000,0.05637172609567642,0.05637172609567642,0.10656028985977173,
70000,0.061022691428661346,0.061022691428661346,0.052004359662532806,
