step,train_loss_raw,train_loss_smooth,val_loss_raw,val_loss_smooth
0,0.15365639328956604,0.15365639328956604,0.11173130571842194,0.11173130571842194
250,0.12995165586471558,0.1418040245771408,0.08946271985769272,0.10059701278805733
500,0.1252772957086563,0.13629511495431265,0.12293922901153564,0.10804441819588344
750,0.10737921297550201,0.12906613945960999,0.12581966817378998,0.11248823069036007
1000,0.13712146878242493,0.13067720532417298,0.07341273874044418,0.10467313230037689
1171,0.11333243548870087,0.1277864103515943,0.09654837846755981,0.10163654685020447
1421,0.10840809345245361,0.12501807936600276,0.10063882917165756,0.10387176871299744
1671,0.10041631758213043,0.12194285914301872,0.10642238706350327,0.10056840032339096
1921,0.1202915608882904,0.12175938155916002,0.09919716417789459,0.09524389952421189
2000,0.0982193797826767,0.11940538138151169,0.11882911622524261,0.10432717502117157
2171,0.09198685735464096,0.1169127882881598,0.12363522499799728,0.10974454432725907
2342,0.08810977637767792,0.11451253729561965,0.10881265252828598,0.11137930899858475
2592,0.10478010028600693,0.11376388829488021,0.10725829005241394,0.11154648959636689
2842,0.08238668739795685,0.11152265965938568,0.06681609153747559,0.10507027506828308
3092,0.08678367733955383,0.1098733941713969,0.1071416586637497,0.1027327835559845
3342,0.10134133696556091,0.10934014059603214,0.07361932843923569,0.09272960424423218
3513,0.06992893666028976,0.10702183448216494,0.07654483616352081,0.08627604097127914
3763,0.08667522668838501,0.1058914673825105,0.10995051264762878,0.08681448549032211
4000,0.09927266836166382,0.10554310953930805,0.09990593045949936,0.09343245327472686
4013,0.08580322563648224,0.10455611534416676,0.08555063605308533,0.089114248752594
4263,0.09411440789699554,0.10405889118001574,0.08412247896194458,0.09121487885713578
4513,0.0993061363697052,0.10384285687045618,0.1064877137541771,0.09720345437526703
4684,0.08406456559896469,0.10298293116300003,0.09242063015699387,0.09369747787714004
4934,0.09261634945869446,0.10255099025865395,0.08588903397321701,0.09089409857988358
5184,0.07781928032636642,0.10156172186136246,0.1019306480884552,0.09417010098695755
5434,0.07602643221616745,0.10057959533654727,0.09456197917461395,0.09625800102949142
5684,0.0864611566066742,0.10005669019840381,0.07633068412542343,0.09022659510374069
5855,0.1084592342376709,0.10035678105694908,0.09984670579433441,0.0917118102312088
6000,0.07348715513944626,0.09943024223220759,0.07479477673768997,0.08949295878410339
6105,0.09128372371196747,0.09915869161486626,0.10342629998922348,0.08979208916425704
6355,0.08238564431667328,0.09861762557298906,0.0938272774219513,0.08964514881372451
6605,0.08390790224075317,0.09815794671885669,0.06137065216898918,0.08665314242243767
6855,0.07211384177207947,0.0973687314174392,0.08545506000518799,0.08377481326460838
7026,0.0857984870672226,0.09702843011302106,0.09705593436956406,0.0882270447909832
7276,0.08728229999542236,0.09674996925251825,0.09776418656110764,0.08709462210536004
7526,0.07997927069664001,0.09628411651485497,0.08465723693370819,0.08526061400771141
7776,0.09700000286102295,0.09630346479448113,0.09100030362606049,0.09118654429912568
8000,0.07451823353767395,0.09573016923509146,0.08845499157905579,0.09178653061389923
8026,0.09916810691356659,0.09581832148325749,0.0999084860086441,0.09235704094171523
8276,0.0803314596414566,0.09543114993721247,0.0875248834490776,0.09030918031930923
8526,0.08810316026210785,0.09525241848172211,0.08091381192207336,0.08956049531698226
8776,0.08405383676290512,0.09498578558365504,0.072895348072052,0.08593950420618057
9026,0.0740133747458458,0.09449805509905483,0.1185285896062851,0.09195422381162643
9276,0.09756417572498322,0.09456773965873501,0.10350247472524643,0.0926730215549469
9447,0.08044342696666718,0.09425386604335573,0.0767611712217331,0.09052027910947799
9697,0.07821516692638397,0.09390519867124765,0.08101850003004074,0.09054121673107147
9947,0.08468860387802124,0.09370910090968963,0.09280263632535934,0.09452267438173294
10197,0.08118991553783417,0.09344828454777598,0.07662956416606903,0.08614286929368972
10276,0.06384295225143433,0.0928440940927486,0.0984349399805069,0.08512936234474182
10447,0.07085192203521729,0.09240425065159798,0.07849679887294769,0.08547648787498474
10618,0.07778790593147278,0.09088688090443611,0.08322636783123016,0.08591806143522263
10868,0.07080045342445374,0.08970385685563087,0.08188044279813766,0.08373362272977829
11118,0.08885368704795837,0.08897538468241692,0.08650469779968262,0.085708649456501
11368,0.09978753328323364,0.08882355108857155,0.10025988519191742,0.0860736384987831
11618,0.09913831204175949,0.08806388795375825,0.0890522226691246,0.08818472325801849
11789,0.08759452402591705,0.08754912972450256,0.10960640758275986,0.09346073120832443
12039,0.0822163075208664,0.08702529400587082,0.05434417724609375,0.08795347809791565
12276,0.07133970409631729,0.08644376173615456,0.0675233006477356,0.08415719866752625
12289,0.08815845102071762,0.0858010995388031,0.09991574287414551,0.08408837020397186
12539,0.09609066694974899,0.08575852528214455,0.10070531815290451,0.08641898930072785
12789,0.08754879236221313,0.08566976398229599,0.0896424651145935,0.08242620080709458
12960,0.08991238474845886,0.08570581614971161,0.09200805425643921,0.08995897620916367
13210,0.07908117026090622,0.0851918375492096,0.09858840703964233,0.09617199748754501
13460,0.07847718894481659,0.08511364758014679,0.08942098915576935,0.09407304674386978
13710,0.07560428977012634,0.08489005982875825,0.10905876010656357,0.09574373513460159
13960,0.08628526329994202,0.08458893835544586,0.0949767529964447,0.09681059271097184
14131,0.10962620377540588,0.08538288369774819,0.09098055958747864,0.09660509377717971
14276,0.07128509879112244,0.08507508113980293,0.09727834910154343,0.09634308218955993
14381,0.07530255615711212,0.0845956788957119,0.09013926237821579,0.09648673683404922
14631,0.06734567880630493,0.08422652795910836,0.09744226932525635,0.09416343867778779
14881,0.07582897692918777,0.0838608193397522,0.08268356323242188,0.09170480072498322
