tag,step,value,smoothed
da/a1,0,0.28318220376968384,0.28318220376968384
da/a1,0,0.30533838272094727,0.29426029324531555
da/a1,250,0.4133273661136627,0.3339493175347646
da/a1,250,0.5218312740325928,0.38091980665922165
da/a1,500,0.47824153304100037,0.4003841519355774
da/a1,500,0.5149432420730591,0.41947733362515766
da/a1,750,0.6194639205932617,0.44804684604917255
da/a1,750,0.6504351496696472,0.4733453840017319
da/a1,1000,0.6575718522071838,0.49381499158011544
da/a1,1000,0.6115020513534546,0.5055836975574494
da/a1,1171,0.7235991954803467,0.5254032882777128
da/a1,1171,0.7742952108383179,0.5461442818244299
da/a1,1421,0.7419325113296509,0.5612049148632929
da/a1,1421,0.676086962223053,0.5694107753889901
da/a1,1671,0.7258524298667908,0.5798402190208435
da/a1,1671,0.7582120299339294,0.5909884572029114
da/a1,1921,0.6621236205101013,0.5951728785739225
da/a1,1921,0.7423412799835205,0.6033489008744558
da/a1,2000,0.7331099510192871,0.6101784298294469
da/a1,2000,0.7549380660057068,0.6174164116382599
da/a1,2171,0.6980721950531006,0.6212571632294428
da/a1,2171,0.7876178026199341,0.6288190104744651
da/a1,2342,0.7459982633590698,0.6339137605998827
da/a1,2342,0.70399409532547,0.6368337745467821
da/a1,2592,0.7539008855819702,0.6415164589881897
da/a1,2592,0.7841709852218628,0.6470031715356387
da/a1,2842,0.7944833040237427,0.6524653986648277
da/a1,2842,0.7825998663902283,0.6571130582264492
da/a1,3092,0.780478835105896,0.661367050532637
da/a1,3092,0.8016535639762878,0.6660432676474254
da/a1,3342,0.8054441809654236,0.6705400713028447
da/a1,3342,0.7971106767654419,0.6744954027235508
da/a1,3513,0.7278929352760315,0.6761135097705957
da/a1,3513,0.780695915222168,0.6791894628721125
da/a1,3763,0.7893499135971069,0.682336904321398
da/a1,3763,0.7836735844612122,0.6851518121030595
da/a1,4000,0.7810208201408386,0.6877428663743509
da/a1,4000,0.8009782433509827,0.6907227447158412
da/a1,4013,0.8140617609024048,0.6938852835924197
da/a1,4013,0.8361416459083557,0.6974416926503182
da/a1,4263,0.7494144439697266,0.6987093207312793
da/a1,4263,0.7909111380577087,0.7009046020961943
da/a1,4513,0.7637763619422913,0.7023667360461036
da/a1,4513,0.8238375186920166,0.7051274356516924
da/a1,4684,0.8455578684806824,0.7082481119367812
da/a1,4684,0.8242381811141968,0.7107696351797684
da/a1,4934,0.8089286088943481,0.7128581239822063
da/a1,4934,0.8572151064872742,0.7158655611177286
da/a1,5184,0.8281983733177185,0.7181580674891569
da/a1,5184,0.8164116144180298,0.7201231384277343
da/a1,5434,0.7758129239082336,0.7299757528305054
da/a1,5434,0.8133271336555481,0.7401355278491973
da/a1,5684,0.8233241438865662,0.7483354634046555
da/a1,5684,0.7707107067108154,0.7533130520582199
da/a1,5855,0.7987757325172424,0.7597237360477448
da/a1,5855,0.8104720711708069,0.7656343126296997
da/a1,6000,0.828515887260437,0.7698153519630432
da/a1,6000,0.8295649290084839,0.7733979475498199
da/a1,6105,0.8170135021209717,0.7765867805480957
da/a1,6105,0.8715187311172485,0.7817871141433715
da/a1,6355,0.7651955485343933,0.7826190412044525
da/a1,6355,0.8352627158164978,0.7838383913040161
da/a1,6605,0.8219952583312988,0.785439646244049
da/a1,6605,0.8053159713745117,0.7880242264270783
da/a1,6855,0.7792583703994751,0.789092345237732
da/a1,6855,0.8024476170539856,0.7899770569801331
da/a1,7026,0.8435561656951904,0.7936057078838349
da/a1,7026,0.828292191028595,0.7953247261047364
da/a1,7276,0.8142126202583313,0.7969467794895172
da/a1,7276,0.7804008722305298,0.7974560356140137
da/a1,7526,0.8071624636650085,0.7996378409862518
da/a1,7526,0.867132306098938,0.8012281310558319
da/a1,7776,0.7921110987663269,0.8021503877639771
da/a1,7776,0.8114415407180786,0.8042993366718292
da/a1,8000,0.8395046591758728,0.8060114121437073
da/a1,8000,0.832429051399231,0.8069765734672546
da/a1,8026,0.8523454666137695,0.8081338167190552
da/a1,8026,0.8488734364509583,0.8094592881202698
da/a1,8276,0.7874764204025269,0.8095992398262024
da/a1,8276,0.8444396257400513,0.8104549610614776
da/a1,8526,0.7870340347290039,0.8100867581367492
da/a1,8526,0.85204017162323,0.8111853480339051
da/a1,8776,0.7686010599136353,0.8119995105266571
da/a1,8776,0.8466651439666748,0.8133188951015472
da/a1,9026,0.8576003909111023,0.8146839046478271
da/a1,9026,0.8550553321838379,0.8161115396022797
da/a1,9276,0.7979991436004639,0.8164511060714722
da/a1,9276,0.8503039479255676,0.8174376201629638
da/a1,9447,0.8169875741004944,0.8174961364269256
da/a1,9447,0.7985509037971497,0.8167443215847016
da/a1,9697,0.8121206760406494,0.81799844622612
da/a1,9697,0.8651323318481445,0.8194828701019287
