tag,step,value,smoothed
da/a1,0,0.2877730131149292,0.2877730131149292
da/a1,250,0.41106003522872925,0.3494165241718292
da/a1,500,0.35223710536956787,0.35035671790440875
da/a1,750,0.49739786982536316,0.38711700588464737
da/a1,1000,0.49134570360183716,0.4079627454280853
da/a1,1250,0.5174353718757629,0.42620818316936493
da/a1,1500,0.511439859867096,0.4383841369833265
da/a1,1750,0.7010997533798218,0.4712235890328884
da/a1,2000,0.6918557286262512,0.49573827120992875
da/a1,4000,0.7873806953430176,0.5249025136232376
da/a1,6000,0.8148456811904907,0.5512609834020789
da/a1,8000,0.8274843096733093,0.5742795939246813
da/a1,10000,0.7325516939163208,0.5864543708471152
da/a1,12000,0.8113826513290405,0.6025206765958241
da/a1,14000,0.8253451585769653,0.6173756420612335
da/a1,16000,0.7804617881774902,0.6275685261934996
da/a1,18000,0.8418450951576233,0.6401730302502128
da/a1,20000,0.864038348197937,0.6526099923584197
da/a1,22000,0.8514248132705688,0.6630739303011643
da/a1,24000,0.893621027469635,0.6746012851595878
da/a1,26000,0.880752444267273,0.6844180070218586
da/a1,28000,0.7755128741264343,0.6885586827993393
da/a1,30000,0.7565484046936035,0.6915147576643073
da/a1,32000,0.6742098927497864,0.6907937216262022
da/a1,34000,0.8580596446990967,0.697484358549118
da/a1,36000,0.7550314664840698,0.6996977088543085
da/a1,38000,0.8870571255683899,0.7066369465103856
da/a1,40000,0.8497176766395569,0.7117469725864274
da/a1,42000,0.8802404999732971,0.7175570942204574
da/a1,44000,0.8700878024101257,0.722641451160113
da/a1,46000,0.8046050071716309,0.7252854368379039
da/a1,0,0.29344457387924194,0.7117904098704457
da/a1,250,0.4226524829864502,0.7030286545103247
da/a1,500,0.4076133370399475,0.6943399687023724
da/a1,750,0.5600447058677673,0.6905029611928123
da/a1,1000,0.577701985836029,0.6873696007662349
da/a1,1250,0.5487406849861145,0.6836228733127182
da/a1,1500,0.6195113062858582,0.6819357268120113
da/a1,1750,0.6410816311836243,0.6808881858984629
da/a1,2000,0.5430716276168823,0.6774427719414234
da/a1,4000,0.8348940014839172,0.6812830458327037
da/a1,6000,0.8354132771492004,0.6849528132450013
da/a1,8000,0.7866106629371643,0.6873169492843539
da/a1,10000,0.8712090253829956,0.6914963146502321
da/a1,12000,0.8184425234794617,0.6943173415131039
da/a1,14000,0.6550527215003967,0.6934637628171755
da/a1,16000,0.8308968544006348,0.6963878711487385
da/a1,18000,0.8319571018218994,0.699212230121096
da/a1,20000,0.831486701965332,0.7019117091383252
da/a1,22000,0.8490830063819885,0.7048551350831985
da/a1,24000,0.8701788783073425,0.7165032523870468
da/a1,26000,0.8360782861709595,0.7250036174058914
da/a1,28000,0.7081384658813477,0.732121644616127
da/a1,30000,0.778974175453186,0.7377531707286835
da/a1,32000,0.9004940390586853,0.7459361374378204
da/a1,34000,0.8334164023399353,0.7522557580471039
da/a1,36000,0.778215229511261,0.7575912654399872
da/a1,38000,0.792020320892334,0.7594096767902374
da/a1,40000,0.831771969795227,0.7622080016136169
da/a1,42000,0.8370112180709839,0.7632006120681762
da/a1,44000,0.7823822498321533,0.7625513434410095
da/a1,46000,0.8123931288719177,0.7622495198249817
da/a2,0,0.5231610536575317,0.5231610536575317
da/a2,250,0.7226685285568237,0.6229147911071777
da/a2,500,0.6787701845169067,0.6415332555770874
da/a2,750,0.769849956035614,0.673612430691719
da/a2,1000,0.7468762993812561,0.6882652044296265
da/a2,1250,0.818267822265625,0.7099323074022929
da/a2,1500,0.7660742998123169,0.7179525920322963
da/a2,1750,0.8831860423088074,0.7386067733168602
da/a2,2000,0.8858638405799866,0.7549686696794298
da/a2,4000,0.9279654622077942,0.7722683489322663
da/a2,6000,0.9559077024459839,0.7889628356153314
da/a2,8000,0.949240505695343,0.8023193081219991
da/a2,10000,0.9120888113975525,0.8107631160662725
da/a2,12000,0.9424812197685242,0.8201715520450047
da/a2,14000,0.9562746286392212,0.8292450904846191
da/a2,16000,0.9139485955238342,0.8345390595495701
da/a2,18000,0.9438542723655701,0.8409693661858054
da/a2,20000,0.9680465459823608,0.8480292095078362
da/a2,22000,0.9513364434242249,0.8534664323455409
da/a2,24000,0.964870810508728,0.8590366512537002
da/a2,26000,0.9535871744155884,0.8635390571185521
da/a2,28000,0.9092074632644653,0.8656148937615481
da/a2,30000,0.9247530102729797,0.8681861162185669
da/a2,32000,0.8320077657699585,0.8666786849498749
da/a2,34000,0.9671802520751953,0.8706987476348877
da/a2,36000,0.9089002013206482,0.8721680343151093
da/a2,38000,0.9543391466140747,0.8752114088447006
da/a2,40000,0.958836019039154,0.878198002065931
da/a2,42000,0.9658759832382202,0.8812213807270445
da/a2,44000,0.947249710559845,0.8834223250548044
da/a2,46000,0.9207016229629517,0.8846248830518415
da/a2,0,0.5404608249664307,0.8738697562366724
da/a2,250,0.7088481187820435,0.8688691005562291
da/a2,500,0.7092739939689636,0.8641751268330742
da/a2,750,0.8081103563308716,0.862573276247297
da/a2,1000,0.8304459452629089,0.8616808503866196
da/a2,1250,0.8388081192970276,0.8610626684652792
da/a2,1500,0.8547994494438171,0.8608978469120828
da/a2,1750,0.919220507144928,0.862393299738566
da/a2,2000,0.8258534073829651,0.861479802429676
da/a2,4000,0.9584471583366394,0.8638448598908215
da/a2,6000,0.9641948342323303,0.8662341449941907
da/a2,8000,0.9480760097503662,0.868137444174567
da/a2,10000,0.9704508185386658,0.8704627481373873
da/a2,12000,0.9242033362388611,0.8716569834285313
da/a2,14000,0.8579410910606384,0.8713588118553162
da/a2,16000,0.9407256841659546,0.8728347027555425
