step,train_loss_raw,train_loss_smooth,val_loss_raw,val_loss_smooth
0,0.1355636715888977,0.1355636715888977,0.12519244849681854,0.12519244849681854
250,0.11747195571660995,0.12651781365275383,0.1021517887711525,0.11367211863398552
500,0.10462077707052231,0.11921880145867665,0.1554640531539917,0.12760276347398758
750,0.13620054721832275,0.12346423789858818,0.12733173370361328,0.127535006031394
1000,0.10481531918048859,0.11973445415496826,0.14390230178833008,0.13080846518278122
1250,0.10058613866567612,0.11654306824008624,0.1001969575881958,0.12580936700105666
1500,0.10907354205846786,0.11547599307128362,0.08424094319343567,0.12222719788551331
1750,0.13230061531066895,0.11757907085120678,0.12874624133110046,0.11688363552093506
2000,0.11434053629636765,0.11721923367844687,0.13630101084709167,0.11867749094963073
4000,0.10650883615016937,0.11614819392561912,0.09493022412061691,0.1088830754160881
6000,0.13413353264331818,0.11778322471813722,0.10705382376909256,0.11025444865226745
8000,0.10743936151266098,0.11692123611768086,0.09987686574459076,0.11338163316249847
10000,0.08961030095815659,0.11482039495156361,0.09474912285804749,0.10658220946788788
12000,0.10271313786506653,0.11395559087395668,0.055599723011255264,0.0904419519007206
14000,0.07958406209945679,0.11166415562232336,0.0703858733177185,0.08553308174014092
16000,0.0788889229297638,0.10961570357903838,0.09524773806333542,0.08317186459898948
18000,0.08211776614189148,0.1079981778474415,0.13737283647060394,0.09067105874419212
20000,0.08580607920885086,0.10676528347863092,0.0775374248623848,0.08722871914505959
22000,0.06087280809879303,0.10434989003758681,0.11463690549135208,0.09903615564107895
24000,0.06867734342813492,0.10256626270711422,0.10192219167947769,0.10534341931343079
26000,0.08556990325450897,0.10175691225699016,0.07706008851528168,0.10170588940382004
28000,0.07387221604585648,0.100489426065575,0.06812594085931778,0.0878565102815628
30000,0.06622734665870667,0.09899977043918941,0.09151627123355865,0.09065227955579758
32000,0.056030403822660446,0.09720938016350071,0.05413687974214554,0.07855227440595627
34000,0.06666933000087738,0.09598777815699577,0.07660698145627975,0.07348923236131669
36000,0.04569999873638153,0.09405363279466446,0.07249458134174347,0.07257613092660904
38000,0.08497431129217148,0.09371736162790546,0.1207740306854248,0.08310574889183045
40000,0.07382915914058685,0.09300706868192979,0.0623437836766243,0.07727125138044358
42000,0.07607151567935944,0.09242308409563427,0.0533900260925293,0.07712188065052032
44000,0.06015114113688469,0.09134735266367594,0.09740953892469406,0.08128239214420319
46000,0.056698258966207504,0.0902296399637576,0.09217090159654617,0.08521765619516372
